Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
AGG CHK005;м.Черкаси, бульв. Шевченка,389;AGG CHK005 м.Черкаси, бульв. Шевченка,389;;;08.09.2011;;Сакало В.В.;Эксплуатация;False;30.03.2018
AGG CHK008;м.Черкаси, вул. Сумгаїтська, 17;AGG CHK008 м.Черкаси, вул. Сумгаїтська, 17;;;31.12.2010;;Сакало В.В.;Эксплуатация;False;30.06.2017
AGG CHK017;м. Черкаси, бул. Шевченка, 249;AGG CHK017 м. Черкаси, бул. Шевченка, 249;;;31.12.2010;;Пономар О.К.;Эксплуатация;False;27.06.2014
AGG CHK204;м.Черкаси, вул.Чехова, 72;AGG CHK204 м.Черкаси, вул.Чехова, 72;;;08.09.2011;;Баранов Д.М.;Эксплуатация;False;19.03.2015
AGG CHK786;Черкаська обл., м. Черкаси, вул. Енгельса, 245/1. iснуючий майданчик Вее240004;AGG CHK786 Черкаська обл., м. Черкаси, вул. Енгельса, 245/1. iснуючий майданчик Вее240004;;;21.09.2011;;Баранов Д.М.;Эксплуатация;False;05.11.2017
AGG CHK904;м. Черкаси, вул. Одеська, 8;AGG CHK904 м. Черкаси, вул. Одеська, 8;;;08.09.2011;;Пономар О.К.;Эксплуатация;False;18.05.2015
AGG NRPCHK002;м.Черкаси, вул. Гоголя 413;AGG NRPCHK002 м.Черкаси, вул. Гоголя 413;;;31.12.2010;;Баранов Д.М.;Эксплуатация;False;31.12.2013
BSC CHK001;г. Черкассы, ул. Крещатик, 225;BSC CHK001 г. Черкассы, ул. Крещатик, 225;;;30.09.2003;;Гощенко А.Г.;Эксплуатация;False;30.09.2015
BSC CHK0067;м. Черкаси, вул. Гоголя, 413;BSC CHK0067 м. Черкаси, вул. Гоголя, 413;;;21.06.2011;;Гощенко А.Г.;Эксплуатация;False;09.12.2014
BSC CHK076;ул. Гоголя, 413;BSC CHK076 ул. Гоголя, 413;;;25.02.2010;;Гощенко А.Г.;Эксплуатация;False;09.12.2014
BSC CHK094;вул. Крещатик, 225;BSC CHK094 вул. Крещатик, 225;;;28.02.2006;;Гощенко А.Г.;Эксплуатация;False;30.09.2015
BSC CHK160;м. Черкаси, вул. Гоголя, 413, ЛАЦ-2;BSC CHK160 м. Черкаси, вул. Гоголя, 413, ЛАЦ-2;;;25.08.2010;;Гощенко А.Г.;Эксплуатация;False;09.12.2014
BSC CHK164;м. Черкаси, вул. Гоголя, 413;BSC CHK164 Черкаська обл.,м.Черкаси, вул. Гоголя 413;Черкаська обл.,смт.Катеринопiль,вул.Ленiна,55;;29.09.2010;;Гощенко А.Г.;Эксплуатация;False;09.12.2014
BSC CHK167;м. Черкаси, вул. Гоголя, 413;BSC CHK167 м. Черкаси, вул. Гоголя, 413;;;19.09.2011;;Гощенко А.Г.;Эксплуатация;False;09.12.2014
BSC CHK309;м. Черкаси, вул. Гоголя, 413;;;;21.12.2016;;Гощенко А.Г.;Эксплуатация;False;21.12.2016
BSC CHK310;м. Черкаси, вул. Гоголя, 413;;;;21.12.2016;;Гощенко А.Г.;Эксплуатация;False;21.12.2016
MDU CHK00001;Черкассы, вул. Сумгаїтська, 17;MDU CHK00001 Черкассы, вул. Сумгаїтська, 17;;;28.02.2011;;Ткаченко О.Ю.;Эксплуатация;False;28.02.2011
MDU CHK00002;Україна,м.Черкаси,вул.Гоголя 413 (Зона2);MDU CHK00002 Україна,м.Черкаси,вул.Гоголя 413 (Зона2);;;06.05.2011;;Ткаченко О.Ю.;Эксплуатация;False;06.05.2011
MDU CHK00003;Черкаси, ул. Шевченка, 249;MDU CHK00003 Черкаси, ул. Шевченка, 249;;;30.03.2011;;Ткаченко О.Ю.;Эксплуатация;False;30.03.2011
MDU CHK00004;Черкаси, ул. Сумгаитская, 17;MDU CHK00004 Черкаси, ул. Сумгаитская, 17;;;06.05.2011;;Ткаченко О.Ю.;Эксплуатация;False;06.05.2011
MDU CHK00005;Україна,Черкаська обл.,м.Черкаси AGG_CHK008 вул. Сумгаїтська 17 (Зона 5);MDU CHK00005 Україна,Черкаська обл.,м.Черкаси AGG_CHK008 вул. Сумгаїтська 17 (Зона 5);;;17.08.2011;;Ткаченко О.Ю.;Эксплуатация;False;17.08.2011
MDU CHK00006;Україна,Черкаська обл.,м.Черкаси AGG_CHK008 вул. Сумгаїтська 17 (Зона 6);MDU CHK00006 Україна,Черкаська обл.,м.Черкаси AGG_CHK008 вул. Сумгаїтська 17 (Зона 6);;;17.08.2011;;Ткаченко О.Ю.;Эксплуатация;False;17.08.2011
MDU CHK00007;Україна,Черкаська обл.,м.Черкаси вул. Дашкевича 39 (Зона 7);MDU CHK00007 Україна,Черкаська обл.,м.Черкаси вул. Дашкевича 39 (Зона 7);;;26.08.2011;;Ткаченко О.Ю.;Эксплуатация;False;26.08.2011
MDU CHK00008;Україна,Черкаська обл.,м.Черкаси б-р. Шевченка 249 (Зона 8);MDU CHK00008 Україна,Черкаська обл.,м.Черкаси б-р. Шевченка 249 (Зона 8);;;29.08.2011;;Ткаченко О.Ю.;Эксплуатация;False;29.08.2011
MDU CHK00009;Україна,Черкаська обл.,м.Черкаси б-р. Шевченка 389 (Зона 9);MDU CHK00009 Україна,Черкаська обл.,м.Черкаси б-р. Шевченка 389 (Зона 9);;;06.09.2011;;Ткаченко О.Ю.;Эксплуатация;False;06.09.2011
MDU CHK00010;Україна,Черкаська обл.,м.Черкаси вул. Гоголя 413 (Зона 10);MDU CHK00010 Україна,Черкаська обл.,м.Черкаси вул. Гоголя 413 (Зона 10);;;16.09.2011;;Ткаченко О.Ю.;Эксплуатация;False;16.09.2011
MDU CHK00011;Україна,Черкаська обл.,м.Черкаси вул. Чехова 72 (Зона 11);MDU CHK00011 Україна,Черкаська обл.,м.Черкаси вул. Чехова 72 (Зона 11);;;09.09.2011;;Ткаченко О.Ю.;Эксплуатация;False;09.09.2011
MDU CHK00012;Україна,Черкаська обл.,м.Черкаси вул. Одеська, 8 (Зона 12);MDU CHK00012 Україна,Черкаська обл.,м.Черкаси вул. Одеська, 8 (Зона 12);;;25.10.2011;;Ткаченко О.Ю.;Эксплуатация;False;25.10.2011
MDU CHK00015;Україна. м. Черкаси вул. Смiлянська, 125 (Зона ЖД вокзал);MDU CHK00015 Україна. м. Черкаси вул. Смiлянська, 125 (Зона ЖД вокзал);;;26.10.2011;;Ткаченко О.Ю.;Эксплуатация;False;26.10.2011
MDU CHK00016;Україна. м. Черкаси вул. Гоголя 413 (Зона Енгельса);MDU CHK00016 Україна. м. Черкаси вул. Гоголя 413 (Зона Енгельса);;;20.10.2011;;Ткаченко О.Ю.;Эксплуатация;False;20.10.2011
MDU CHK00017;Україна. м. Черкаси вул. Гоголя 413 (Зона Пастерiвська);MDU CHK00017 Україна. м. Черкаси вул. Гоголя 413 (Зона Пастерiвська);;;07.10.2011;;Ткаченко О.Ю.;Эксплуатация;False;07.10.2011
MDU CHK00018;Україна. м. Черкаси вул. Гоголя 413 (Зона Хiмiкiв);MDU CHK00018 Україна. м. Черкаси вул. Гоголя 413 (Зона Хiмiкiв);;;03.11.2011;;Ткаченко О.Ю.;Эксплуатация;False;03.11.2011
MGW CHK014;г. Черкассы;MGW CHK014 г. Черкассы;;;11.06.2009;;Гощенко А.Г.;Эксплуатация;False;31.12.2015
MGW CHK056;вул. Гоголя, 413;MGW CHK056 вул. Гоголя, 413;;;11.09.2009;;Гощенко А.Г.;Эксплуатация;False;31.12.2015
MSS CHK006;г. Черкассы;MSS CHK006 г. Черкассы;;;11.06.2009;;Гощенко А.Г.;Эксплуатация;False;31.12.2015
MSS CHK037;г. Черкассы, ул. Крещатик, 225;MSS CHK037 г.Черкассы ул. Гоголя, 413;;;11.09.2009;;Гощенко А.Г.;Эксплуатация;False;31.12.2015
MTS CHK001;м. Черкаси;MTS CHK001 м. Черкаси;;;31.12.2001;;Пономар О.К.;Эксплуатация;False;23.03.2015
NRP CHK002;вул. Гоголя, 413, м. Черкаси;NRP CHK002 вул. Гоголя, 413, м. Черкаси;;;29.04.2010;;Баранов Д.М.;Эксплуатация;False;31.12.2013
NRP CHKCALLCENTRE;вул.Одеська,8;NRP CHKCALLCENTRE вул.Одеська,8;;;25.10.2013;;Баранов Д.М.;Эксплуатация;False;30.06.2017
OPE CHK002;г. Черкассы;ул. Гоголя, 255;;;14.07.2007;28.03.2009;Редьога М.В.;Закрыт;False;14.07.2007
OPE CHK501;м. Черкаси, вул. Хрещатик, 225;OPE CHK501 м. Черкаси, вул. Хрещатик, 225;;;12.07.2011;;Пономар О.К.;Эксплуатация;False;29.09.2018
POP CHK000002;м. Черкаси, вул. Кiрова, буд. 55;POP CHK000002 м. Черкаси, вул. Кiрова, буд. 55;;;27.05.2013;;Пономар О.К.;Эксплуатация;False;25.06.2013
POP CHK000006;ул. Первомайская, 68;POP CHK000006 ул. Первомайская, 68;;;02.09.2014;;Сакало В.В.;Эксплуатация;False;07.09.2017
POP CHK000010;Черкаська обл., м. Черкаси, вул. Гоголя,288;POP CHK000010 Черкаська обл., м. Черкаси, вул. Гоголя,288;;;23.09.2013;;Пономар О.К.;Эксплуатация;False;30.09.2016
POP CHK000017;ул. Гоголя, 235;POP CHK000017 ул. Гоголя, 235;;;02.09.2014;29.11.2017;Пономар О.К.;Закрыт;False;30.06.2017
POP CHK000033;Черкаська обл.,м.Смiла,вул.Ленiна,18;POP CHK000033 Черкаська обл.,м.Смiла,вул.Ленiна,18;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.06.2017
POP CHK0002;м.Черкаси, вул. Дашкевича, 39;POP CHK0002 м.Черкаси, вул. Дашкевича, 39;;;27.05.2013;;Пономар О.К.;Эксплуатация;False;25.06.2013
POP CHK0006;ул. Первомайская, 72;POP CHK0006 ул. Первомайская, 72;;;02.09.2014;;Сакало В.В.;Эксплуатация;False;18.12.2014
POP CHK000811;Черкаси м. (Черкаська область), Шевченка бульв., буд. 145;;;;22.04.2015;;Баранов Д.М.;Эксплуатация;False;30.06.2015
POP CHK000901;бульвар Шевченко, 258;POP CHK000901 бульвар Шевченко, 258;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.09.2017
POP CHK000905;ул. Лесная, 1;POP CHK000905 ул. Лесная, 1;;;02.09.2014;01.02.2017;Пономар О.К.;Закрыт;False;18.12.2014
POP CHK000978;ул. Котовского, 73;POP CHK000978 ул. Котовского, 73;;;02.09.2014;;Баранов Д.М.;Эксплуатация;False;18.12.2014
POP CHK001;м.Черкаси,вул.Пальохи,2;POP CHK001 м.Черкаси,вул.Пальохи,2;;;28.02.2012;;Пономар О.К.;Эксплуатация;False;31.12.2015
POP CHK0010;м.Черкаси, вул.Благовiсна, 269/105;POP CHK0010 м.Черкаси, вул.Благовiсна, 269/105;;;23.09.2013;;Пономар О.К.;Эксплуатация;False;22.12.2017
POP CHK0012;м.Черкаси, вул.Хрещатик, 84;POP CHK0012 м.Черкаси, вул.Хрещатик, 84;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;18.12.2014
POP CHK001808;ул. Сумгаитская, 10;POP CHK001808 ул. Сумгаитская, 10;;;;;;Строящийся;False;
POP CHK002802;Черкаси м., Шевченка бул., буд. 208;POP CHK002802 Черкаси м., Шевченка бул., буд. 208;;;02.09.2014;;Сакало В.В.;Эксплуатация;False;30.09.2017
POP CHK00766;Черкаська обл., м.Черкаси, вул.Чигиринська 11/1;POP CHK00766 Черкаська обл., м.Черкаси, вул.Чигиринська 11/1;;;23.09.2013;;Баранов Д.М.;Эксплуатация;False;30.09.2016
POP CHK00901;м. Черкаси. вул. Ленiна, 33;POP CHK00901 м. Черкаси. вул. Ленiна, 33;;;27.06.2013;;Пономар О.К.;Эксплуатация;False;30.09.2016
POP CHK00908;м. Черкаси, 30-рiччя Перемоги вул., буд. 5/1, бiля зоосаду;POP CHK00908 м. Черкаси, 30-рiччя Перемоги вул., буд. 5/1, бiля зоосаду;;;28.02.2012;;Пономар О.К.;Эксплуатация;False;31.12.2015
POP CHK00978;м. Черкаси, вул. Кiрова, 102/1;POP CHK00978 м. Черкаси, вул. Кiрова, 102/1;;;17.09.2013;18.07.2016;Баранов Д.М.;Закрыт;False;24.10.2013
POP CHK01000002;г.Черкассы, ул. Б.Вишневецкого, 32;POP CHK01000002 г.Черкассы, ул. Б.Вишневецкого, 32;Тех. помещение ГТ ( г.Черкассы, ул. Б.Вишнявецкого;;31.12.2011;;Пономар О.К.;Эксплуатация;False;31.12.2015
POP CHK010002;м. Черкаси, Лазарева вул., 6;POP CHK010002 м. Черкаси, Лазарева вул., 6;;;26.12.2012;;Пономар О.К.;Эксплуатация;False;30.09.2016
POP CHK010811;Черкаси м. (Черкаська область), Шевченка бульв., буд. 218-220;;;;;;;Строящийся;False;
POP CHK010901;Черкаси м. (Черкаська область), Смілянська вул., буд. 21;;;;29.09.2017;;Пономар О.К.;Эксплуатация;False;29.09.2017
POP CHK011808;Черкаська обл. м.Черкаси, вул. Сумгаїтьсяка 10,;;;;02.09.2014;;Сакало В.В.;Эксплуатация;False;30.06.2015
POP CHK0200000002;бульвар Т.Шевченко, 320;POP CHK0200000002 бульвар Т.Шевченко, 320;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.09.2017
POP CHK02000002;ул. Розы Люксембург, 30;POP CHK02000002 ул. Розы Люксембург, 30;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.09.2017
POP CHK020002;ул. Байды Вишневецкого, 47;POP CHK020002 ул. Байды Вишневецкого, 47;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.09.2017
POP CHK0201000002;м. Черкаси, вул. Героїв Сталiнграду, 39;POP CHK0201000002 м. Черкаси, вул. Героїв Сталiнграду, 39;;;24.02.2015;;Пономар О.К.;Эксплуатация;False;30.03.2015
POP CHK0201000004;Черкаси м., Крупської вул., буд. 52;;;;24.02.2015;28.09.2015;Пономар О.К.;Закрыт;False;30.03.2015
POP CHK02010002;м. Черкаси бульв. Шевченка 305;;;;24.02.2015;;Пономар О.К.;Эксплуатация;False;30.03.2015
POP CHK02010004;Черкаси м., Крупської вул., буд. 52;;;;24.02.2015;28.09.2015;Пономар О.К.;Закрыт;False;30.03.2015
POP CHK0202000002;Черкаси м., Героїв Стал?нграда вул., буд. 42/1;;;;22.04.2015;;Пономар О.К.;Эксплуатация;False;30.06.2015
POP CHK02020002;Черкаси, вул. Героїв Сталинграда, 42;;;;22.04.2015;;Пономар О.К.;Эксплуатация;False;30.06.2015
POP CHK020901;Черкаси м. (Черкаська область), Остафія Дашкевича вул. вул., буд. 27, ( );;;;14.08.2018;;Пономар О.К.;Эксплуатация;False;14.08.2018
POP CHK021808;Черкаси м. (Черкаська область), Сумгаїтська вул., буд. 10, ( );;;;08.05.2018;;Сакало В.В.;Эксплуатация;False;08.05.2018
POP CHK030002;ул. Дашкевича, 76;POP CHK030002 ул. Дашкевича, 76;;;02.09.2014;30.11.2017;Пономар О.К.;Закрыт;False;30.09.2017
POP CHK05000001;г.Черкассы, ул. Смелянская, 44/1;POP CHK05000001 г.Черкассы, ул. Смелянская, 44/1;Узел связи (г.Черкассы, ул. Смелянская, 44/1);;31.12.2011;;Пономар О.К.;Эксплуатация;False;31.12.2014
POP CHK05000007;м. Черкаси, вул.Байди Вишневецького, 34;POP CHK05000007 м. Черкаси, вул.Байди Вишневецького, 34;;;06.08.2013;;Пономар О.К.;Эксплуатация;False;19.09.2013
POP CHK0501000001;ул. Смелянская, 44/1;POP CHK0501000001 ул. Смелянская, 44/1;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;31.12.2014
POP CHK0502000001;ул. Смелянская, 44;POP CHK0502000001 ул. Смелянская, 44;;;;;;Строящийся;False;
POP CHK0503000001;м. Черкаси Шевченка бульв., буд. 187;POP CHK0503000001 м. Черкаси Шевченка бульв., буд. 187;;;;;;Строящийся;False;
POP CHK0766;Черкаська область, м. Черкаси, вул. Чигиринська 13/4;POP CHK0766 Черкаська область, м. Черкаси, вул. Чигиринська 13/4;;;23.09.2013;;Баранов Д.М.;Эксплуатация;False;24.10.2013
POP CHK0811;м. Черкаси, б-р. Шевченка, 145. Власна щогла на даху;;;;;;;Строящийся;False;
POP CHK0905;ул. Лесная, 1;POP CHK0905 ул. Лесная, 1;;;02.09.2014;14.12.2016;Пономар О.К.;Закрыт;False;19.12.2014
POP CHK0978;м. Черкаси, вул. Кiрова, 102/1. Власна щогла на даху будiвлi макаронної фабрики;POP CHK0978 м. Черкаси, вул. Кiрова, 102/1. Власна щогла на даху будiвлi макаронної фабрики;;;17.09.2013;;Баранов Д.М.;Эксплуатация;False;24.10.2013
POP CHK10002;вул. Дашкевича, 39;POP CHK10002 вул. Дашкевича, 39;;;28.12.2012;13.05.2014;Редьога М.В.;Закрыт;False;24.06.2013
POP CHK1808;ул. Сумгаитская, 10;POP CHK1808 ул. Сумгаитская, 10;;;22.04.2015;;Сакало В.В.;Эксплуатация;False;30.06.2015
POP CHK2802;Черкаси м., Шевченка бул., буд. 208;POP CHK2802 Черкаси м., Шевченка бул., буд. 208;;;02.09.2014;;Пономар О.К.;Эксплуатация;False;30.09.2017
POP CHK901;м. Черкаси, вул. Смiлянська,23;POP CHK901 м. Черкаси, вул. Смiлянська,23;;;27.06.2013;;Пономар О.К.;Эксплуатация;False;10.03.2014
POP CHK908;м. Черкаси, вул. 30 рокiв Перемоги, 5/1;POP CHK908 м. Черкаси, вул. 30 рокiв Перемоги, 5/1;;;28.02.2012;;Пономар О.К.;Эксплуатация;False;02.03.2016
POP CHKG001808;Черкаси м. (Черкаська область), Якубовського вул., буд. 8,;POP CHKG001808 Черкаси м. (Черкаська область), Якубовського вул., буд. 8,;;;13.06.2013;;Пономар О.К.;Эксплуатация;False;30.06.2015
POP CHKG00474;Черкаська обл.,м.Христинiвка, вул. Пушкiна,24;POP CHKG00474 Черкаська обл.,м.Христинiвка, вул. Пушкiна,24;;;13.06.2013;;Пономар О.К.;Эксплуатация;False;30.06.2017
POP CHKG1808;м. Черкаси, вул. Сумгаїтська, 10;POP CHKG1808 м. Черкаси, вул. Сумгаїтська, 10;;;;;;Строящийся;False;
POP CHKG474;Черкаська обл., м. Христинiвка вул. Ленiна, 32;POP CHKG474 Черкаська обл., м. Христинiвка вул. Ленiна, 32;;;13.06.2013;;Пономар О.К.;Эксплуатация;False;30.06.2017
POP NRPCHK000002;ул. Героев Сталинграда, 22а;POP NRPCHK000002 ул. Героев Сталинграда, 22а;;;;;;Строящийся;False;
RBS CHK001;м.Черкаси,вул.Пальохи,2;RBS CHK001 м.Черкаси,вул.Пальохи,2;Дог. № 18-20 вiд 01.04.2000р.;Черкаський ОРТПЦ;30.09.2000;;Пономар О.К.;Эксплуатация;False;31.12.2015
RBS CHK002;г.Черкасы,ул.Дашкевича, 39;RBS CHK002 г.Черкасы,ул.Дашкевича, 39;Дог. № 19 вiд  17.12.1999р.;ЧОУС;30.09.2000;;Пономар О.К.;Эксплуатация;False;24.06.2013
RBS CHK003;м.Черкаси,вул.Пастерiвська,11;RBS CHK003 м.Черкаси, вул.Пастерiвська,11;;ВЖРЕУ №3;30.09.2000;;Пономар О.К.;Эксплуатация;False;10.12.2013
RBS CHK004;м.Черкаси, вул.Смiлянська, 125 м.Черкаси, вул.Смiлянська, 125,;RBS CHK004 м.Черкаси, вул.Смiлянська, 125 м.Черкаси, вул.Смiлянська, 125,;;Черк. квартрно-експл. частина МО України;31.12.2001;;Пономар О.К.;Эксплуатация;False;31.03.2014
RBS CHK005;м. Черкасиул.Горького, 27;RBS CHK005 м. Черкасиул.Горького, 27;Дог. № 005 CHК;"Черкаське ВАТ ""Темп""";31.05.2002;;Сакало В.В.;Эксплуатация;False;30.03.2018
RBS CHK006;м, Черкаси. ул.Первомайська 72;RBS CHK006 м.Черкаси,пр.Хiмкiв,84;м, Черкаси. ул.Первомайська 72;"ВАТ ""Азот""";30.09.2000;;Сакало В.В.;Эксплуатация;False;10.12.2013
RBS CHK007;м. Черкаси, вул Б. Вишневецького, 17;RBS CHK007 м. Черкаси, вул Б. Вишневецького, 17;Дог. № 007 CHК вiд 10.07.2001р.;Центр п?дв. квал?ф. облдерж.службовц?в;31.12.2001;;Сакало В.В.;Эксплуатация;False;11.05.2015
RBS CHK008; Черкаси, вул. Сумгаїтська, 17/;RBS CHK008  Черкаси, вул. Сумгаїтська, 17/;Дог. № 1 вiд 04.04.2000р.;Козьмин В.М.;30.09.2000;;Сакало В.В.;Эксплуатация;False;30.06.2017
RBS CHK010;м. Черкаси вул.Благовiсна, 269/105;RBS CHK010 м. Черкаси вул.Благовiсна, 269/105;Дог. № 003 CHК вiд 23.04.2002р.;"Асоцiацiя ""ОБЛПОБУТСОЮЗ""";31.12.2002;;Пономар О.К.;Эксплуатация;False;22.12.2017
RBS CHK012;м.Черкаси, вул. Хрещатик, 84;RBS CHK012 м.Черкаси, вул. Хрещатик, 84;Дог. № 401 CHК вiд  01.06.2000р.;УДА? в Черк.обл.;31.07.2002;;Пономар О.К.;Эксплуатация;False;30.08.2013
RBS CHK015;м.Черкаси, вул.Смiлянська, 144, труба;RBS CHK015 м.Черкаси, вул.Смiлянська, 144, труба;;;05.03.2007;;Пономар О.К.;Эксплуатация;False;27.05.2014
RBS CHK016;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK016 м.Черкаси, вул.Сумгаїтська, 8;;;12.11.2007;;Пономар О.К.;Эксплуатация;False;02.03.2015
RBS CHK017;м. Черкаси, бул. Шевченка, 249;RBS CHK017 м. Черкаси, бул. Шевченка, 249;м. Черкаси, бул. Шевченка, 249;;28.06.2007;;Пономар О.К.;Эксплуатация;False;27.06.2014
RBS CHK103;г.Черкасы, ул.Чкалова, 12;RBS CHK103 г.Черкасы, ул.Чкалова, 12;власна вежа на тер-ї заводу будiвельних матерiалiв;;31.07.2006;;Пономар О.К.;Эксплуатация;False;27.06.2014
RBS CHK105;18009, м. Черкаси, вул. Лiсова, 1;RBS CHK105 18009, м. Черкаси, вул. Лiсова, 1;;;31.08.2006;;Пономар О.К.;Эксплуатация;False;17.03.2013
RBS CHK106;;RBS CHK106;труба припортової котельнi Черкаської ТЕЦ;;31.08.2006;;Пономар О.К.;Эксплуатация;False;30.04.2013
RBS CHK107; м.Черкаси, вул.Красовського, 12, труба;RBS CHK107  м.Черкаси, вул.Красовського, 12, труба;труба котельної тепломереж;;31.07.2006;;Пономар О.К.;Эксплуатация;False;31.03.2013
RBS CHK108;18036,м. Черкаси, вул. 30 рокiв Перемоги, 5/1;RBS CHK108  м. Черкаси, вул. 30 рокiв Перемоги, 5/1. 18036, м. Черкаси, вул. 30 рокiв Перемоги, 5/1.;;;30.09.2006;;Пономар О.К.;Эксплуатация;False;02.03.2016
RBS CHK116;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK116 м. Черкаси вул. 30-рокiв Перемоги, 70;;;26.06.2008;;Баранов Д.М.;Эксплуатация;False;27.06.2014
RBS CHK117;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK117 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;;;21.11.2008;;Баранов Д.М.;Эксплуатация;False;30.03.2015
RBS CHK132;Черкаський р-н с. Софiївка башта УМЗ;RBS CHK132 Черкаський р-н,с. Софiївка;;;31.10.2006;;Сакало В.В.;Эксплуатация;False;12.09.2017
RBS CHK167;Черкаська обл., Черкаський р-н, с.Свидiвок, вул.Дахнiвська, 21,;RBS CHK167 Черкаська обл., Черкаський р-н, с.Свидiвок, вул.Дахнiвська, 21,;;;21.06.2007;;Пономар О.К.;Эксплуатация;False;26.12.2013
RBS CHK174;м. Черкаси, вул. iльїна, 55. Власна щогла на даху будiвлi;RBS CHK174 м.Черкаси, вул.iльїна 55;;;07.05.2010;06.06.2017;Баранов Д.М.;Закрыт;False;28.06.2013
RBS CHK1804;Черкаська обл., м. Черкаси, вул. Смiлянська, 122/1. iснуючий майданчик Вее240043;RBS CHK1804 Черкаська обл., м. Черкаси, вул. Смiлянська, 122/1. iснуючий майданчик Вее240043;;;27.10.2011;;Пономар О.К.;Эксплуатация;False;31.12.2015
RBS CHK1808;Черкаська обл., м. Черкаси, вул. Сумгаїтська, 10. iснуючий майданчки Вее240005;RBS CHK1808 Черкаська обл., м. Черкаси, вул. Сумгаїтська, 10. iснуючий майданчки Вее240005;;;27.10.2011;;Сакало В.В.;Эксплуатация;False;30.06.2015
RBS CHK186;м. Черкаси, вул. Енгельса, 170. Водонапiрна башта;RBS CHK186 м.Черкаси, вул.Енгельса 170;;;27.05.2010;;Баранов Д.М.;Эксплуатация;False;24.04.2018
RBS CHK187;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK187 ЧЕРКАСИ (ЧЕРКАСИ)7110100000 м. Черкаси, вул. Чайковського, 117;;;17.12.2008;;Баранов Д.М.;Эксплуатация;False;28.06.2013
RBS CHK202;м.Черкаси, вул. Пастерiвська,;RBS CHK202 м.Черкаси, вул. Пастерiвська, 102/1;;;10.12.2007;;Пономар О.К.;Эксплуатация;False;23.10.2013
RBS CHK203;г.Черкассы ул.Гоголя 413;RBS CHK203 м.Черкаси, вул. Благовiсна, 210,;;;13.10.2008;;Баранов Д.М.;Эксплуатация;False;28.12.2014
RBS CHK204;м.Черкаси, вул.Чехова, 72;RBS CHK204 м.Черкаси, вул.Чехова, 72, на даху;;;29.09.2007;;Пономар О.К.;Эксплуатация;False;19.03.2015
RBS CHK206;м.Черкаси, вул.Зел?нського, 14,;RBS CHK206 м.Черкаси, вул.Зелiнського, 14,;;;13.11.2007;17.09.2009;Редьога М.В.;Закрыт;False;03.01.2008
RBS CHK207;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK207 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;;;19.06.2008;;Баранов Д.М.;Эксплуатация;False;31.03.2014
RBS CHK218;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK218 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;;;17.03.2008;;Баранов Д.М.;Эксплуатация;False;10.09.2014
RBS CHK266;м. Черкаси, вул, Чигиринська, 13. Трубостiйки на даху;RBS CHK266 ЧЕРКАСИ (ЧЕРКАСИ)7110100000 м. Черкаси, вул, Чигиринська, 13;;;29.05.2009;20.07.2017;Баранов Д.М.;Закрыт;False;24.10.2013
RBS CHK501;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK501 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;Примiщення iнфо-центру Київстар Дж Єс Єм;;16.12.2008;;Баранов Д.М.;Эксплуатация;False;29.09.2018
RBS CHK644;м. Черкаси, вул. Менделеєва, 7;RBS CHK644 Черкаська обл., м.Черкаси, вул.Менделєєва, буд. 7;;;11.02.2009;;Баранов Д.М.;Эксплуатация;False;30.03.2015
RBS CHK703;м.Черкаси, вул. Гоголя, 413;RBS CHK703 м.Черкаси, вул. Гоголя, 413;;;06.11.2008;;Баранов Д.М.;Эксплуатация;False;28.12.2014
RBS CHK707;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK707 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;власний стовп;;04.11.2008;;Баранов Д.М.;Эксплуатация;False;31.03.2014
RBS CHK718;ЧЕРКАСИ (ЧЕРКАСИ)7110100000;RBS CHK718 ЧЕРКАСИ (ЧЕРКАСИ)7110100000;;;01.09.2008;30.10.2017;Баранов Д.М.;Закрыт;False;10.09.2014
